# ************************************************************************************
# ********** LAST USER TO EDIT CSV FILE IS :  alien  **********
# ************************************************************************************
# ************************************************************************************
# ********** LAST USER TO EDIT CSV FILE IS :  alien  **********
# ************************************************************************************
# This is the PDC data file for psys_XXX_6,,,,,
#tzrtzt
#<MTN number>,<angle>,<die clearance>,<PDC No.>,<Size>,
# Note PDC number is a Combination of PDC stn number and die shelf,,,,,
#e.g.,,,,,
#230.05,0,0.2,2021,,
#(Rect 30x5 at zero degrees with 0.2 die on upper shelf),,,,,
#,,,,,
#230.05,0,0.5,2022,,
#(Rect 30x5 at zero degrees with 0.2 die on lower shelf),,,,,
#,,,,,
# For circular tools enter 0 for the angle,,,,,
# Commas *must* be used as the separator.,,,,,
# Lines starting with # are comments and are ignored.,,,,,
#,,,,,
# SIZE,MIN,TO ,MAX,,QTY
# A,1.6,TO ,12.7,,20
# B,12.8,TO ,31.7,,9
# C,31.8,TO ,50.8,,2
# D,50.9,TO ,88.9,,1
# E,89,TO ,114.3,,1
#,,,,,
# BUFFER TURRET LAYOUT,,,,,
# MTN,ANGLE,DIE,PDC NO.,,
#21001.05,0,0.2,3491,,B,,
#21001.05,0,0.5,3492,,B,,
#28006,90,0.2,6003,,D,,
#28006,90,0.5,6004,,D,,
2.2,0,0.2,11,A,A,,ROND
2.2,0,0.5,12,,A,,
2.5,0,0.2,21,,A,,
2.5,0,0.5,22,,A,,
2.7,0,0.2,31,,A,,
2.7,0,0.5,32,,A,,
3,0,0.2,41,,A,,
3,0,0.5,42,,A,218,
3.3,0,0.2,51,,A,,
3.3,0,0.5,52,,A,,
3.5,0,0.2,61,,A,,
3.5,0,0.5,62,,A,,
3.8,0,0.2,71,,A,,
3.8,0,0.5,72,,A,,
4,0,0.2,81,,A,,
4,0,0.5,82,,A,,
4.2,0,0.2,91,,A,,
4.2,0,0.5,92,,A,,
4.4,0,0.2,101,,A,,
4.4,0,0.5,102,,A,,
4.5,0,0.2,111,,A,,
4.5,0,0.5,112,,A,,
4.8,0,0.2,121,,A,,
4.8,0,0.5,122,,A,,
5,0,0.2,131,,A,,
5,0,0.5,132,,A,,
5.4,0,0.2,141,,A,,
5.4,0,0.5,142,,A,,
5.5,0,0.2,151,,A,,
5.5,0,0.5,152,,A,,
5.8,0,0.2,161,,A,,
5.8,0,0.5,162,,A,,
6,0,0.2,171,,A,,
6,0,0.5,172,,A,,
6.2,0,0.2,181,,A,,
6.2,0,0.5,182,,A,,
6.4,0,0.2,191,,A,,
6.4,0,0.5,192,,A,,
6.5,0,0.2,201,,A,,
6.5,0,0.5,202,,A,,
6.8,0,0.2,211,,A,,
6.8,0,0.5,212,,A,,
7,0,0.2,221,,A,,
7,0,0.5,222,,A,,
7.2,0,0.2,231,,A,,
7.2,0,0.5,232,,A,,
7.5,0,0.2,241,,A,,
7.5,0,0.5,242,,A,,
8,0,0.2,251,,A,,
8,0,0.5,252,,A,,
8.5,0,0.2,261,,A,,
8.5,0,0.5,262,,A,,
8.8,0,0.2,271,,A,,
8.8,0,0.5,272,,A,,
9,0,0.2,281,,A,,
9,0,0.5,282,,A,,
9.5,0,0.2,291,,A,,
9.5,0,0.5,292,,A,,
10,0,0.2,301,,A,,
10,0,0.5,302,,A,,
10.5,0,0.2,311,,A,,
10.5,0,0.5,312,,A,,
11,0,0.2,321,,A,,
11,0,0.5,322,,A,,
11.2,0,0.2,331,,A,,
11.2,0,0.5,332,,A,,
11.5,0,0.2,341,,A,,
11.5,0,0.5,342,,A,,
12,0,0.2,351,,A,,
12,0,0.5,352,,A,,
12.1,0,0.2,361,,A,,
12.1,0,0.5,362,,A,,
12.5,0,0.2,371,,A,,
12.5,0,0.5,372,,A,,
12.7,0,0.2,381,,A,,
12.7,0,0.5,382,,A,,
10002,0,0.2,391,,A,,
10002,0,0.5,392,,A,,
10003,0,0.2,401,,A,,
10003,0,0.5,402,,A,,
10004,0,0.2,411,,A,,
10004,0,0.5,412,,A,,
10005,0,0.2,421,,A,,
10005,0,0.5,422,,A,,
10006,0,0.2,431,,A,,
10006,0,0.5,432,,A,,
10008,0,0.2,441,,A,,
10008,0,0.5,442,,A,,
10008,45,0.2,451,,A,,
10008,45,0.5,452,,A,,
10008.3,0,0.1,461,,A,,
10008.3,0,0.3,462,,A,,
20201.5,0,0.2,471,,A,,
,,,472,,A,,
20302.55,0,0.2,481,,A,,
,,,482,,A,,
20401.54,90,0.2,491,,A,,
,,,492,,A,,
20402,0,0.2,501,,A,,
20402,0,0.5,502,,A,,
20402.94,90,0.2,511,,A,,
20402.94,90,0.5,512,,A,,
20500.06,0,0.2,521,,A,,
,,,522,,A,,
20500.08,90,0.1,531,,A,,
20500.08,90,0.2,532,,A,,
20501.64,0,0.2,541,,A,,
,,,542,,A,,
20502,0,0.2,551,,A,,
,,,552,,A,,
20502.55,0,0.2,561,,A,,
,,,562,,A,,
20502.77,90,0.2,571,,A,,
,,,572,,A,,
20601.04,0,0.2,581,,A,,
,,,582,,A,,
20601.22,0,0.2,591,,A,,
,,,592,,A,,
20601.72,0,0.2,601,,A,,
,,,602,,A,,
20602,0,0.2,611,,A,,
20602,0,0.5,612,,A,,
20603,0,0.2,621,,A,,
20603,0,0.5,622,,A,,
20701.05,0,0.2,631,,A,,
,,,632,,A,,
20701.07,90,0.2,641,,A,,
