TL-AC-2000x1000-EP1,Acier 2000x1000 EP1,,,ACIER,1,15.70,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-AC-2000x1000-EP2,Acier 2000x1000 EP2,,,ACIER,2,31.40,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-AC-2000x1000-EP3,Acier 2000x1000 EP3,,,ACIER,3,47.10,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-AC-2000x1000-EP4,Acier 2000x1000 EP4,,,ACIER,4,62.80,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-AC-2000x1000-EP5,Acier 2000x1000 EP5,,,ACIER,5,78.50,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-AC-2000x1000-EP6,Acier 2000x1000 EP6,,,ACIER,6,94.20,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-AC-2000x1000-EP8,Acier 2000x1000 EP8,,,ACIER,8,125.60,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-AC-2000x1000-EP10,Acier 2000x1000 EP10,,,ACIER,10,157.00,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-AC-2000x1000-EP12,Acier 2000x1000 EP12,,,ACIER,12,188.40,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-AC-2000x1000-EP15,Acier 2000x1000 EP15,,,ACIER,15,235.50,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-AC-2000x1000-EP20,Acier 2000x1000 EP20,,,ACIER,20,314.00,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-IN-2000x1000-EP1,Inox 2000x1000 EP1,,,INOX,1,16.00,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-IN-2000x1000-EP2,Inox 2000x1000 EP2,,,INOX,2,32.00,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-IN-2000x1000-EP3,Inox 2000x1000 EP3,,,INOX,3,48.00,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-IN-2000x1000-EP4,Inox 2000x1000 EP4,,,INOX,4,64.00,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-IN-2000x1000-EP5,Inox 2000x1000 EP5,,,INOX,5,80.00,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-IN-2000x1000-EP6,Inox 2000x1000 EP6,,,INOX,6,96.00,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-IN-2000x1000-EP8,Inox 2000x1000 EP8,,,INOX,8,128.00,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-IN-2000x1000-EP10,Inox 2000x1000 EP10,,,INOX,10,160.00,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-IN-2000x1000-EP12,Inox 2000x1000 EP12,,,INOX,12,192.00,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-IN-2000x1000-EP15,Inox 2000x1000 EP15,,,INOX,15,240.00,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-IN-2000x1000-EP20,Inox 2000x1000 EP20,,,INOX,20,320.00,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-AL-2000x1000-EP1,Alu 2000x1000 EP1,,,ALU,1,5.40,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-AL-2000x1000-EP2,Alu 2000x1000 EP2,,,ALU,2,10.80,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-AL-2000x1000-EP3,Alu 2000x1000 EP3,,,ALU,3,16.20,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-AL-2000x1000-EP4,Alu 2000x1000 EP4,,,ALU,4,21.60,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-AL-2000x1000-EP5,Alu 2000x1000 EP5,,,ALU,5,27.00,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-AL-2000x1000-EP6,Alu 2000x1000 EP6,,,ALU,6,32.40,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-AL-2000x1000-EP8,Alu 2000x1000 EP8,,,ALU,8,43.20,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-AL-2000x1000-EP10,Alu 2000x1000 EP10,,,ALU,10,54.00,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-AL-2000x1000-EP12,Alu 2000x1000 EP12,,,ALU,12,64.80,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-AL-2000x1000-EP15,Alu 2000x1000 EP15,,,ALU,15,81.00,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
TL-AL-2000x1000-EP20,Alu 2000x1000 EP20,,,ALU,20,108.00,,2000,1000,0,0,0,0,Tôle laser,1,1,,,
