TL-AC-2000x1000-EP1;Acier 2000x1000 EP1;;;ACIER;1;15.70;;2000;1000;0;0;0;0;Tôle laser;1;1;;;
TL-AC-2000x1000-EP2;Acier 2000x1000 EP2;;;ACIER;2;31.40;;2000;1000;0;0;0;0;Tôle laser;1;1;;;
TL-AC-2000x1000-EP3;Acier 2000x1000 EP3;;;ACIER;3;47.10;;2000;1000;0;0;0;0;Tôle laser;1;1;;;
TL-AC-2000x1000-EP4;Acier 2000x1000 EP4;;;ACIER;4;62.80;;2000;1000;0;0;0;0;Tôle laser;1;1;;;
TL-AC-2000x1000-EP5;Acier 2000x1000 EP5;;;ACIER;5;78.50;;2000;1000;0;0;0;0;Tôle laser;1;1;;;
TL-AC-2000x1000-EP6;Acier 2000x1000 EP6;;;ACIER;6;94.20;;2000;1000;0;0;0;0;Tôle laser;1;1;;;
TL-AC-2000x1000-EP8;Acier 2000x1000 EP8;;;ACIER;8;125.60;;2000;1000;0;0;0;0;Tôle laser;1;1;;;
TL-AC-2000x1000-EP10;Acier 2000x1000 EP10;;;ACIER;10;157.00;;2000;1000;0;0;0;0;Tôle laser;1;1;;;
TL-AC-2000x1000-EP12;Acier 2000x1000 EP12;;;ACIER;12;188.40;;2000;1000;0;0;0;0;Tôle laser;1;1;;;
TL-AC-2000x1000-EP15;Acier 2000x1000 EP15;;;ACIER;15;235.50;;2000;1000;0;0;0;0;Tôle laser;1;1;;;
TL-AC-2000x1000-EP20;Acier 2000x1000 EP20;;;ACIER;20;314.00;;2000;1000;0;0;0;0;Tôle laser;1;1;;;
TL-IN-2000x1000-EP1;Inox 2000x1000 EP1;;;INOX;1;16.00;;2000;1000;0;0;0;0;Tôle laser;1;1;;;
TL-IN-2000x1000-EP2;Inox 2000x1000 EP2;;;INOX;2;32.00;;2000;1000;0;0;0;0;Tôle laser;1;1;;;
TL-IN-2000x1000-EP3;Inox 2000x1000 EP3;;;INOX;3;48.00;;2000;1000;0;0;0;0;Tôle laser;1;1;;;
TL-IN-2000x1000-EP4;Inox 2000x1000 EP4;;;INOX;4;64.00;;2000;1000;0;0;0;0;Tôle laser;1;1;;;
TL-IN-2000x1000-EP5;Inox 2000x1000 EP5;;;INOX;5;80.00;;2000;1000;0;0;0;0;Tôle laser;1;1;;;
TL-IN-2000x1000-EP6;Inox 2000x1000 EP6;;;INOX;6;96.00;;2000;1000;0;0;0;0;Tôle laser;1;1;;;
TL-IN-2000x1000-EP8;Inox 2000x1000 EP8;;;INOX;8;128.00;;2000;1000;0;0;0;0;Tôle laser;1;1;;;
TL-IN-2000x1000-EP10;Inox 2000x1000 EP10;;;INOX;10;160.00;;2000;1000;0;0;0;0;Tôle laser;1;1;;;
